"table_schema","table_name","ordinal_position","column_name","data_type","is_nullable"
msbf_ctl,m1_16_acquisition_contract_registry,26,campaign_set_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,27,funnel_set_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,28,cost_ledger_set_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,29,touchpoint_set_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,30,attribution_set_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,31,cost_snapshot_set_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,32,component_set_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,33,latest_set_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,34,archive_set_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,35,contract_set_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,36,combined_set_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,37,contract_row_hash,text,NO
msbf_ctl,m1_16_acquisition_contract_registry,38,generated_at,timestamp with time zone,NO
msbf_ctl,m1_16_acquisition_contract_registry,39,validated_at,timestamp with time zone,YES
msbf_ctl,m1_16_acquisition_contract_registry,40,accepted_at,timestamp with time zone,YES
msbf_ctl,m1_16_acquisition_contract_registry,41,created_by_run_id,bigint,NO
msbf_ctl,m1_17_end_to_end_evidence_snapshot,1,module1_run_id,bigint,NO
msbf_ctl,m1_17_end_to_end_evidence_snapshot,2,evidence_sequence,integer,NO
msbf_ctl,m1_17_end_to_end_evidence_snapshot,3,evidence_family,text,NO
msbf_ctl,m1_17_end_to_end_evidence_snapshot,4,evidence_code,text,NO
msbf_ctl,m1_17_end_to_end_evidence_snapshot,5,metric_name,text,NO
msbf_ctl,m1_17_end_to_end_evidence_snapshot,6,observed_value_text,text,YES
msbf_ctl,m1_17_end_to_end_evidence_snapshot,7,expected_value_text,text,YES
msbf_ctl,m1_17_end_to_end_evidence_snapshot,8,evidence_status,text,NO
