schema_name,table_name,column_ordinal,column_name,data_type,nullable,m1_4_dependency
msbf_m1,ead_path_snapshot,9,path_hash,text,False,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,1,module1_run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,2,merchant_application_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,3,feature_code,text,False,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,4,feature_version,integer,False,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,5,value_numeric,"numeric(24,10)",True,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,6,value_text,text,True,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,7,value_boolean,boolean,True,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,8,value_date,date,True,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,9,source_snapshot_id,bigint,True,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,10,observation_start_date,date,True,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,11,observation_end_date,date,True,Referenced by controlled M1.4 SQL
msbf_m1,feature_value,12,calculation_hash,text,False,Referenced by controlled M1.4 SQL
msbf_m1,guarantee_availability_snapshot,1,merchant_application_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,guarantee_availability_snapshot,2,party_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,guarantee_availability_snapshot,3,as_of_date,date,False,Referenced by controlled M1.4 SQL
msbf_m1,guarantee_availability_snapshot,4,guarantee_type,text,False,Referenced by controlled M1.4 SQL
msbf_m1,guarantee_availability_snapshot,5,guarantee_available_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,guarantee_availability_snapshot,6,guarantee_capacity_amount,"numeric(18,2)",True,Referenced by controlled M1.4 SQL
msbf_m1,guarantee_availability_snapshot,7,verification_status,text,False,Referenced by controlled M1.4 SQL
msbf_m1,guarantee_availability_snapshot,8,source_snapshot_id,bigint,True,Referenced by controlled M1.4 SQL
msbf_m1,guarantee_availability_snapshot,9,created_by_run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,1,merchant_application_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,2,population_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,3,merchant_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,4,processor_account_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,5,partner_channel_id,text,True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,6,application_date,date,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,7,as_of_date,date,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,8,requested_funding_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,9,requested_remittance_rate,"numeric(9,6)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,10,requested_expected_payoff_days,smallint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,11,requested_total_repayment_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,12,requested_finance_charge_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,13,requested_use_of_proceeds,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,14,application_channel,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,15,application_status,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,16,request_hash,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_application,17,created_by_run_id,bigint,False,Referenced by controlled M1.4 SQL
