schema_name,table_name,column_name
msbf_m1,merchant_deposit_daily_scenario,closing_balance
msbf_m1,merchant_deposit_daily_scenario,deposit_amount
msbf_m1,merchant_deposit_daily_scenario,generated_by_run_id
msbf_m1,merchant_deposit_daily_scenario,merchant_id
msbf_m1,merchant_deposit_daily_scenario,minimum_balance
msbf_m1,merchant_deposit_daily_scenario,negative_balance_flag
msbf_m1,merchant_deposit_daily_scenario,nsf_count
msbf_m1,merchant_deposit_daily_scenario,observation_date
msbf_m1,merchant_deposit_daily_scenario,opening_balance
msbf_m1,merchant_deposit_daily_scenario,population_id
msbf_m1,merchant_deposit_daily_scenario,row_hash
msbf_m1,merchant_deposit_daily_scenario,scenario_id
msbf_m1,merchant_deposit_daily_scenario,scenario_overlay_payload
msbf_m1,merchant_deposit_daily_scenario,scenario_row_id
msbf_m1,merchant_deposit_daily_scenario,source_contract_id
msbf_m1,merchant_deposit_daily_scenario,withdrawal_amount
msbf_m1,merchant_feature_snapshot,active_short_term_advance_count
msbf_m1,merchant_feature_snapshot,adjusted_daily_cash_flow_available
msbf_m1,merchant_feature_snapshot,adjusted_eligible_daily_revenue
msbf_m1,merchant_feature_snapshot,annualized_eligible_sales
msbf_m1,merchant_feature_snapshot,as_of_date
msbf_m1,merchant_feature_snapshot,average_available_balance_30d
msbf_m1,merchant_feature_snapshot,avg_daily_eligible_sales_30d
msbf_m1,merchant_feature_snapshot,avg_daily_eligible_sales_60d
msbf_m1,merchant_feature_snapshot,avg_daily_eligible_sales_7d
msbf_m1,merchant_feature_snapshot,avg_daily_eligible_sales_90d
msbf_m1,merchant_feature_snapshot,business_bureau_score
msbf_m1,merchant_feature_snapshot,cash_flow_buffer_days
msbf_m1,merchant_feature_snapshot,cashflow_archetype_code
msbf_m1,merchant_feature_snapshot,chargeback_rate_30d
msbf_m1,merchant_feature_snapshot,created_at
msbf_m1,merchant_feature_snapshot,daily_sales_cv_30d
msbf_m1,merchant_feature_snapshot,daily_sales_cv_90d
msbf_m1,merchant_feature_snapshot,data_confidence_tier
msbf_m1,merchant_feature_snapshot,deposit_history_days
msbf_m1,merchant_feature_snapshot,deposit_to_eligible_sales_rate_30d
msbf_m1,merchant_feature_snapshot,existing_daily_remittance_amount
msbf_m1,merchant_feature_snapshot,existing_monthly_debt_service
msbf_m1,merchant_feature_snapshot,feature_snapshot_hash
msbf_m1,merchant_feature_snapshot,fraud_risk_tier
msbf_m1,merchant_feature_snapshot,funding_to_annualized_sales_rate
msbf_m1,merchant_feature_snapshot,history_end_date
msbf_m1,merchant_feature_snapshot,history_start_date
msbf_m1,merchant_feature_snapshot,industry_cash_flow_conversion_margin
msbf_m1,merchant_feature_snapshot,industry_code
msbf_m1,merchant_feature_snapshot,largest_30d_share_180d
msbf_m1,merchant_feature_snapshot,merchant_application_id
msbf_m1,merchant_feature_snapshot,merchant_id
msbf_m1,merchant_feature_snapshot,module1_run_id
msbf_m1,merchant_feature_snapshot,months_in_business
msbf_m1,merchant_feature_snapshot,negative_balance_day_rate_30d
