schema_name,table_name,ordinal_position,column_name,data_type,nullable,default_expression,stage
msbf_m1,application_acquisition_attribution_snapshot,4,merchant_id,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,5,application_date,date,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,6,as_of_date,date,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,7,accepted_partner_channel_id,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,8,accepted_channel_type,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,9,accepted_application_channel,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,10,first_touch_source_code,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,11,first_touch_campaign_id,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,12,last_touch_source_code,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,13,last_touch_campaign_id,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,14,primary_source_code,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,15,primary_campaign_id,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,16,touchpoint_count,smallint,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,17,assisted_touch_count,smallint,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,18,attribution_method_code,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,19,attribution_method_version,integer,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,20,attribution_confidence_score,"numeric(9,6)",NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,21,attribution_confidence_tier,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,22,parent_channel_reconciliation_status,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,23,fallback_path_code,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,24,primary_attribution_reason_code,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,25,secondary_attribution_reason_codes,text[],NO,'{}'::text[],M1.16
