relation_name,column_name,data_type,reference_scope
msbf_m1.application_cashflow_feature_snapshot,scenario_deposit_delta_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,scenario_eligible_sales_delta_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,scenario_eligible_sales_delta_rate_90d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,scenario_id,bigint,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,scenario_negative_balance_rate_delta_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,scenario_nsf_count_delta_30d,integer,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,scenario_processor_outage_rate_delta_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,scenario_refund_rate_delta_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,scenario_withdrawal_delta_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,seasonality_index_180d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,source_confidence_score,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,verification_disposition,text,Referenced upstream or control relation
msbf_m1.application_cashflow_feature_snapshot,zero_sales_day_rate_30d,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.application_liquidity_capacity_snapshot,<catalog extension/current module>,,Referenced relation; detailed columns governed in module schema catalogs
msbf_m1.application_obligation_snapshot,as_of_date,date,Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,created_by_run_id,bigint,Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,daily_payment_amount,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,lien_position,smallint,Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,merchant_application_id,text,Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,monthly_payment_amount,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,obligation_id,text,Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,obligation_type,text,Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,outstanding_balance,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,remittance_rate,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,short_term_financing_flag,boolean,Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,source_snapshot_id,bigint,Referenced upstream or control relation
msbf_m1.application_obligation_snapshot,stacking_sequence,smallint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,as_of_timestamp,timestamptz,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,continuity_stress_worsening_flag,boolean,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,created_at,timestamptz,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,created_by_run_id,bigint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,critical_fail_count,smallint,Referenced upstream or control relation
